ID,Asset,Category,Set,New or existing,Used by,Modelling,Texturing,Rig / animation,Wave,Status,Notes
A-094,"Cliff and crag modules: VB_CliffFace_Tall / _Mid / _Low, VB_CliffCorner",Environment,Eldmoor,New,"Eldmoor: Greyfell Tor S/E faces, ridge north cliff and south scarp, keep plateau north edge",Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),CC0 (Poly Haven rock_face_03 -> CliffRock set; MossyRock tops),—,B-06,Done,"Done 2026-09-24 (B-06 1.2): 256 cm modules, 7 / 4 / 1.8 m high, jointed-granite strata at fixed heights so modules butt in any order; corner buttress 128 x 128 (scale Z for lower runs). VisionBlocker, box collision. 1.3-4.4k tris. /Game/Valhalla/Environment/Eldmoor. Manifest: Docs/Zones/Eldmoor/eldmoor_art_kit.md."
A-095,SM_CliffCleft (hidden Greyfell cave cleft),Environment,Eldmoor,New,"Eldmoor: unmarked cleft at (6,27), Phase 2 Greyfell Cave entrance",Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (CliffRock, CaveFloor); MI_Shroud",—,B-06,Done,"Done 2026-09-24: tall cliff module with a 150 x 225 cm opening closing to a crack, 1.1 m passage ending in a black shroud so the trigger is never seen. Walk-in: per-triangle collision (import_kit.WALKABLE). Keep landscape flat under its footprint. 3,006 tris."
A-096,"Large boulders: VB_BoulderLarge_A / _B, VB_RockOutcrop",Environment,Eldmoor,New,"Eldmoor: cleft screen, Hask's Hold crossbowman rock and LOS rock, scree",Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (CliffRock, MossyRock)",—,B-06,Done,"Done 2026-09-24: chiselled granite blocks 2.2 / 1.6 / 1.4 m (outcrop has a flat stand-on top at ~125 cm). VisionBlocker, convex hull. 400-480 tris."
A-097,"Palisade: VB_PalisadeWall (64), VB_PalisadeWall_Long (256), VB_PalisadeCorner, SM_PalisadeGate",Environment,Eldmoor,New,Eldmoor: Harrow's Rest outpost,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (LogBark, OakPlanks)",—,B-06,Done,"Done 2026-09-24: sharpened logs 2.4 m, back rails inside. Gate replaces 6 tiles: 2.56 m clear opening, leaves open inward, walk-through per-triangle collision (SM_, like SM_KeepGate, so the gateway is not fogged). 126-1,446 tris."
A-098,"VB thicket: VB_Thicket_A (128 x 128), VB_Thicket_B (256 x 128)",Environment,Eldmoor,New,Eldmoor: Thornwood thickets TH1-TH6,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"Existing foliage (LeafMass, LeafCluster, Fern)",—,B-06,Done,Done 2026-09-24: 1.3 m dense bush filling its tile box (fog footprint = mesh bounds). VisionBlocker profile + box collision: blocks sight (90 cm eye trace) and movement. 2.0k / 4.1k tris.
A-099,"SM_Forge, SM_Anvil",Prop,Eldmoor,New,Harrow's Rest smithy; keep outer-bailey smithy corner,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (StoneWall, OakPlanks) + MI_Embers",—,B-06,Done,"Done 2026-09-24: stone hearth with coals and flame, hood/chimney, bellows, quench tub; anvil on a log block. Forge added to fire_lights.FIRES (flickering light). 890 / 310 tris."
A-100,"SM_HayBale, SM_StrawPile",Prop,Eldmoor,New,Keep stables corner; farmyards,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),CC0 (Thatch),—,B-06,Done,Done 2026-09-24: 63 cm bale with twine; loose heap with a half-buried bale. 68 / 468 tris.
A-101,SM_TrainingPost (pell),Prop,Eldmoor,New,Keep inner courtyard sparring,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (OakPlanks, Burlap)",—,B-06,Done,"Done 2026-09-24: post on crossed feet with sackcloth torso and arm, 154 cm. 332 tris."
A-102,SM_CellBars,Prop,Eldmoor,New,Keep undercroft gaol cell,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),Existing (M_IronDark),—,B-06,Done,"Done 2026-09-24: 128 x 180 iron grille with a locked barred door; blocks movement, not sight. 320 tris."
A-103,"SM_StoneRamp, SM_KeepParapetLow",Environment,Eldmoor,New,Keep great hall -> undercroft ramp slot,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (KeepStone, StoneFloor)",—,B-06,Done,"Done 2026-09-24: 640 x 128 ramp dropping 300 cm (25.1 deg), pivot at hall-floor level, kerb on the open side, walkable per-triangle collision; 90 cm parapet on the 128 cm curtain module. 20 / 100 tris."
A-104,"Scorched timber: VB_ScorchedWall, SM_ScorchedPost, SM_ScorchedBeams",Environment,Eldmoor,New,"Eldmoor: Burnt Steadings, Miller's Stead, C10 farmyard",Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),CC0 (Timber set tinted -> MI_CharredTimber; Plaster),—,B-06,Done,"Done 2026-09-24: burnt timber-frame wall (128 cm, VisionBlocker), lone charred post, fallen beams on ash. 72-320 tris."
A-105,SM_Cart,Prop,Eldmoor,New,C10 Steadings Foragers; stables,Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (OakPlanks, DarkPlanks, Burlap)",—,B-06,Done,"Done 2026-09-24: two-wheeled farm cart at rest on its shafts with sacks, 233 x 112 cm. 1,936 tris."
A-106,SM_BindStone,Prop,Eldmoor,New,"Harrow's Rest bind point (48,110)",Opus 5.5 + Blender MCP: procedural (eldmoor_kit.py),"CC0 (StoneWall, Rock) + MI_BindGlow",—,B-06,Done,"Done 2026-09-24: SM_PortalMarker rune-stone with a green-white glow on a flagstone dais ringed by five stones; no trigger. 1,052 tris."
